track_id,track_name,artist_name,album_name,release_date,year,duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,time_signature,genre,explicit
trk_00000,Midnight Dreams,Aurora Lane,Stories Vol. 8,2009-11-27,2009,163050,22.0,0.1219414249553133,0.7282893969329256,-13.40566390701968,0.1936671553316239,0.184494658449165,0.1853003832953551,0.3534013190595285,0.4907822955933739,131.91287303608644,5,0,7,indie,False
trk_00001,Digital Hearts,Tarek Ali,Diary Vol. 8,1992-05-10,1992,139120,55.0,0.2388606647463635,0.4408884672620087,-9.424835933482868,0.0861707974396554,0.4674049420764942,0.4083208763081601,0.1340743892468784,0.9171238142771008,117.89762990507172,6,1,4,indie,False
trk_00002,Silent Gravity,El Tigre,Diary Vol. 2,2004-10-04,2004,212443,47.0,0.4044856568033484,0.0899846184669437,-9.868098559461782,0.3128682822311524,0.2455963302032153,0.1457997131474589,0.50173654059362,0.3270287376750343,151.05719551678652,8,0,3,afrobeats,False
trk_00003,Lonely Lines,VELVET STREET,Diary Vol. 4,2004-03-19,2004,194616,93.0,0.8363402658624672,0.1712659609466078,-6.11496347220716,0.1097400925779978,0.1929641326757877,0.1398526351608953,0.222874072328645,0.7644491715145765,106.71545113391154,2,0,7,house,False
trk_00004,Crystal Lines,Tarek Ali,Diary Vol. 1,2022-10-04,2022,257603,32.0,0.7822533868338337,0.8790257484791508,-6.202720022512577,0.3571263084381513,0.3025484983706292,0.3735607175043335,0.3611776891554731,0.7820348133865732,104.03529563936934,3,1,5,afrobeats,False
trk_00005,Scarlet Waves,ECHOES & WAVES,Diary Vol. 1,2020-11-23,2020,163175,69.0,0.2886810044724583,0.2164041705256577,-8.343619535757854,0.330371388656708,0.1773429914764399,0.1837228335461026,0.0859776355147654,0.383110927000711,122.29722936427792,11,0,4,country,False
trk_00006,Cosmic City,D.T. North,Stories Vol. 3,2005-09-13,2005,264294,59.0,0.3826845275672437,0.6425358758718555,-2.844201877958941,0.1288857953848884,0.1671846995849136,0.0148562760749832,0.7109337482569666,0.8520356274134896,139.9423044379564,10,0,7,folk,False
trk_00007,Midnight Waves,Echoes & Waves,Colors Vol. 4,2007-02-26,2007,201763,43.0,0.263068368649058,0.3627042386595278,-9.861091167606656,0.1481879562204903,0.0512851443977917,0.1821553593928729,0.414975906484706,0.6728496387889205,107.06854231514949,11,0,3,jazz,False
trk_00008,Digital Fire,DJ Nova,Colors Vol. 4,1991-04-12,1991,172145,47.0,0.2294218078739697,0.1478941184929064,-9.95192770736548,0.1652941814663178,0.170600568516953,0.1808265478305956,0.2464911104079964,0.5555035588871781,108.7088599346085,2,1,3,lo-fi,False
trk_00009,Hidden Motion,Crimson Tide,Stories Vol. 1,2002-02-13,2002,174928,40.0,0.256468557097247,0.5569664657973323,-11.071455558467164,0.1481362775274787,0.4441997908756929,0.2224871015035377,0.3499293572127109,0.3318758423935321,114.51911285537942,9,0,4,techno,False
trk_00010,Silver Dreams,The Skylarks,Diary Vol. 7,2005-04-10,2005,231283,40.0,0.9384629819096352,0.8480366280680233,-6.462185082871338,0.3821479264724075,0.3333735389506118,0.2729257942060891,0.4548394807096682,0.1893280055459376,148.28502525224826,10,0,5,classical,False
trk_00011,Crystal Whispers,Echoes & Waves,Sessions Vol. 6,2021-11-10,2021,193424,70.0,0.5929507889778792,0.2360754290966585,-5.982724943314722,0.134635619771364,0.2136317341555708,0.3665774413627102,0.1514721824838728,0.3499570412285883,111.13040215029424,10,0,4,unknown,True
trk_00012,Silver Echo,Kiran Shah,Colors Vol. 4,2021-02-10,2021,212892,100.0,0.4099238356256942,0.8044056762742765,-13.733761039682072,0.2578283935911785,0.2465651276185897,0.3022419387575621,0.2314556539584476,0.2038108790420527,144.44406692415873,2,1,5,techno,True
trk_00013,Cosmic Night,Indigo Bloom,Stories Vol. 8,2020-06-03,2020,133898,87.0,0.2090113138457262,0.3793175605085,-11.753340729155909,0.0889243066891188,0.6442136645261474,0.05913240267605,0.1457556498151608,0.844697541751967,122.01634844508104,10,1,4,latin,False
trk_00014,Neon Fire,LUNA PARK,Sessions Vol. 4,2012-10-14,2012,206539,55.0,0.647640051571992,0.2695163854866702,-8.66762441651342,0.1101524283242302,0.3858403209268314,0.1831608662879968,0.3950256480465738,0.7728391256637068,99.08174662285803,10,1,4,house,True
trk_00015,Lonely Storm,Neon Pulse,Notes Vol. 1,1994-08-13,1994,147680,53.0,0.4298141391709882,0.3166835402850021,-4.813370447258865,0.276454127764102,0.3590661037281069,0.030515574683505,0.2394714958270595,0.7464548412010864,111.31007545135368,1,0,3,r&b,False
trk_00016,Scarlet Dreams,El Tigre,Notes Vol. 2,1992-02-09,1992,199178,50.0,0.7400521216550727,0.0667970318592543,-9.95111283221008,0.1068588199759288,0.0695951446995197,0.0158170302472722,0.3813597468171369,0.2470672606843101,124.869914776158,1,0,5,lo-fi,True
trk_00017,Electric Lines,Zara Vee,Colors Vol. 2,2018-12-23,2018,242483,42.0,0.7516352125640882,0.2078415301497772,-9.129657953066795,0.3045974347213406,0.2505755267070953,0.1483597017883599,0.3822788031648911,0.2372236984126737,109.64777401927655,0,1,7,jazz,False
trk_00018,Midnight Skies,El Tigre,Stories Vol. 8,2009-01-10,2009,217832,73.0,0.4337933778475242,0.3667235374511498,-6.053870337231072,0.1791669173665809,0.335603023161404,0.350957575468067,0.6338010709199445,0.6289981992672897,144.17963888212932,4,0,4,rock,True
trk_00019,Midnight Paradise,Mina Rho,Sessions Vol. 6,1996-08-30,1996,159547,43.0,0.5943742436000402,0.1296774887675622,-11.689608134722445,0.2142185427716591,0.6158319229167714,0.1988417118239727,0.3819548018087854,0.3884235369919442,94.96921151619112,11,1,5,techno,True
trk_00020,Golden Faces,Midnight Caravan,Notes Vol. 8,2004-07-17,2004,260531,58.0,0.8073051085593292,0.7784750099749951,-8.948293605309582,0.231074465411573,0.5102433594240893,0.2143902471723557,0.3896902152439624,0.3047989748130116,119.92794921818864,5,1,7,unknown,False
trk_00021,Hidden Echo,The Skylarks,Sessions Vol. 6,2003-10-31,2003,169457,90.0,0.7043780968002801,0.1798235982236816,-6.926222813924694,0.2402965777665111,0.4971072006353599,0.339314083245836,0.2540839621668612,0.7028373035235437,154.55086340201422,5,0,7,k-pop,False
trk_00022,Lonely Storm,Midnight Caravan,Mixtape Vol. 5,2007-07-31,2007,225271,73.0,0.884407680923805,0.3661215692460189,-4.763957499706113,0.2788180860518905,0.177308962976157,0.0295341205181833,0.1769067717403883,0.4723262849192756,141.2480301975024,8,1,4,house,True
trk_00023,Lonely Rhythm,Solaris,Notes Vol. 7,1993-03-30,1993,155543,49.0,0.431916718491063,0.1268063064574173,-4.332497255339359,0.1961264016600959,0.2907380719706439,0.2152255373831553,0.4436783590358585,0.5938802935896661,161.76749409561455,3,0,7,jazz,True
trk_00024,Wild Whispers,Echoes & Waves,Mixtape Vol. 7,2002-06-22,2002,205114,72.0,0.5951552522722425,0.8348427102858693,-7.797504392374973,0.2319624441476335,0.7180812708236378,0.1131307896116024,0.5071194633934764,0.875131703706061,114.04872993280016,10,0,7,house,True
trk_00025,Silver Storm,The Skylarks,Stories Vol. 4,1999-04-09,1999,258149,55.0,0.2619249579167512,0.8943998186868579,-7.487087085295342,0.4964439425424318,0.5114123770093818,0.022791656500762,0.2805229242612791,0.555646788796815,125.08498408269855,1,0,3,rock,False
trk_00026,Silver Light,Indigo Bloom,Notes Vol. 2,2023-09-14,2023,193220,52.0,0.7194289105904083,0.3242437585992584,-6.760830398641453,0.0697579960386795,0.222247288417621,0.1881023572016798,0.1851807410467158,0.659102765733647,109.05019286002378,2,1,5,r&b,False
trk_00027,Scarlet Hearts,D.T. North,Sessions Vol. 6,2007-07-07,2007,177177,89.0,0.2586430608728524,0.3634049659935851,-7.245286745503041,0.2079950431747636,0.7197337775100017,0.0771448476711524,0.4686297985319937,0.1337061417008722,84.07942027033849,4,0,3,metal,False
trk_00028,Crystal Hearts,Joon Park,Mixtape Vol. 5,2020-05-19,2020,183634,55.0,0.3198360460984785,0.3851341355926453,-10.046103149597943,0.1088891966253641,0.1818991220250838,0.1088709036427875,0.8660170245574371,0.4368096654970545,160.03891933605945,2,1,5,lo-fi,False
trk_00029,Rising City,Kiran Shah,Colors Vol. 5,2013-09-23,2013,296270,48.0,0.281688773557832,0.6422880573629434,-6.476726989065499,0.1797718830715363,0.0980111452539533,0.2149994087574812,0.3789419289039922,0.4320891016108847,123.2114796209973,0,0,5,lo-fi,True
trk_00030,Velvet Night,Aurora Lane,Diary Vol. 5,2015-05-24,2015,210106,63.0,0.5264618214394147,0.4860648766821375,-6.26180228247799,0.3216616521677783,0.1554347485098416,0.0811200969310212,0.6128868642904108,0.2782943777954228,125.82899846423612,8,0,4,reggaeton,False
trk_00031,Crystal Fire,DJ Nova,Colors Vol. 7,1997-01-02,1997,184426,52.0,0.7655357990499444,0.3089334011168588,-6.273891118422874,0.2078743941431597,0.3420710589920613,0.1505045956412283,0.313831909167834,0.5047661636220866,139.24398709190234,9,0,7,country,False
trk_00032,Burning Light,DJ Nova,Diary Vol. 1,2011-06-29,2011,208149,34.0,0.0728076141936856,0.4883834924422225,-8.493689213025782,0.3189220637590793,0.2563850301993921,0.1526710121610882,0.5290079939885965,0.6999497656445272,144.76566142867273,5,0,3,pop,False
trk_00033,Digital Fire,Neon Pulse,Sessions Vol. 2,1995-08-10,1995,210744,50.0,0.2810491300190312,0.2852264139130623,-11.3306701595288,0.1624589244565678,0.1432376910159306,0.0641295101752117,0.6304288047423576,0.6108196700171952,89.4868737085981,8,0,7,afrobeats,False
trk_00034,Electric Paradise,Crimson Tide,Stories Vol. 7,1997-07-10,1997,254190,35.0,0.4711191183767096,0.3370217913184191,-9.73724092543829,0.1260260285145673,0.1095273263328955,0.0305134465661048,0.3500539794669624,0.556374163763884,153.73975726050782,5,0,5,jazz,False
trk_00035,Silver Light,Tarek Ali,Notes Vol. 4,2015-02-06,2015,268587,54.0,0.6232602556687419,0.5640621186227672,-9.720313464626711,0.1766005662312688,0.2395421787515183,0.3437725845553757,0.0152491216103972,0.4197672608040689,88.74908286226915,8,0,4,folk,True
trk_00036,Fallen Dreams,Joon Park,Sessions Vol. 5,2017-05-17,2017,191483,40.0,0.1971895372658238,0.4124483119131004,-8.247943355114566,0.0864328731491378,0.3855107457594723,0.4155448590496113,0.6179350169339379,0.3128376390513376,152.4935691693912,4,0,4,lo-fi,False
trk_00037,Golden Fire,Indigo Bloom,Tapes Vol. 1,1990-07-09,1990,254260,45.0,0.8452506435462761,0.2527915723673899,-4.18810681802533,0.0801354986012763,0.4633784027692529,0.4001641983079851,0.2647870324854445,0.398133328308176,131.3537350186917,5,1,4,classical,False
trk_00038,Hidden City,D.T. North,Tapes Vol. 4,1997-06-27,1997,203449,74.0,0.6582106466987958,0.397814587338677,-4.047207393176121,0.2659028196168737,0.650829132041023,0.2505028352896647,0.2612975278012371,0.4247229156747213,117.93953597205568,10,0,3,lo-fi,False
trk_00039,Midnight Fire,Tarek Ali,Diary Vol. 7,1998-03-25,1998,252879,50.0,0.5002116263625548,0.1105601077036045,-9.546992101526634,0.2965522048875045,0.4102616309096278,0.0359704184778038,0.4021568705296465,0.5512863802421298,127.76485295570689,2,0,4,unknown,False
trk_00040,Digital Night,Ayesha Noor,Mixtape Vol. 5,2002-10-03,2002,185625,36.0,0.5213389116044763,0.6699734197156125,-11.20340876473758,0.1782846038249366,0.5230415877084769,0.0650078657688065,0.2874934840483604,0.2472159298416851,149.4811210497616,8,0,4,lo-fi,False
trk_00041,Silent Faces,Midnight Caravan,Notes Vol. 3,1995-03-15,1995,197679,63.0,0.5188508482680979,0.8490969581800873,-11.960067533662118,0.2889015368080956,0.2306881259604437,0.3099235122785144,0.398008566474604,0.2727512418837131,119.62883988467864,10,1,5,r&b,True
trk_00042,Hidden Faces,D.T. North,Notes Vol. 8,2011-03-06,2011,247665,76.0,0.2034974548204557,0.6492772387833932,-6.272660652000642,0.1852762586537929,0.4481515816911028,0.051454421337681,0.2579920222553962,0.7868707278971052,131.17539569121254,11,0,5,pop,True
trk_00043,Neon Motion,Indigo Bloom,Sessions Vol. 4,1993-06-21,1993,242114,31.0,0.7010122347876548,0.945207489504386,-10.079560481709258,0.4798069715172238,0.173875560549205,0.0793264148554275,0.3620004737644322,0.2667589679643618,95.31302256240156,11,1,3,rock,True
trk_00044,Burning Light,Rafael Cruz,Stories Vol. 2,1994-03-09,1994,189263,38.0,0.4012021176515997,0.7495338353322902,-7.394301321114647,0.0497612487637592,0.0804358725677914,0.2548761932137559,0.1062979934625999,0.7823362027718707,131.2962829936586,2,1,4,techno,False
trk_00045,Silent City,NEON PULSE,Stories Vol. 6,2021-03-13,2021,248002,56.0,0.634002951119518,0.6786165943085531,-6.86869881829344,0.1621513279165783,0.40418013246336,0.029554187226689,0.1720004738165315,0.2568441015980478,115.91090040629553,2,0,4,rap,False
trk_00046,Burning Hearts,Mina Rho,Mixtape Vol. 2,1999-09-27,1999,195651,40.0,0.7720853178623449,0.2599991523228177,-6.454871980171436,0.212018268586217,0.3934648605104772,0.275451031917883,0.2721040615329919,0.8538568187435791,124.26587414745876,6,1,4,reggaeton,False
trk_00047,Crystal Night,AURORA LANE,Mixtape Vol. 7,2000-08-26,2000,200256,67.0,0.1950997279586439,0.0771996178723451,-7.976107152058009,0.1923470916675828,0.4133321420884541,0.0350594817366964,0.698225734751911,0.1986899519151199,123.04709744067443,8,0,3,folk,False
trk_00048,Midnight Motion,Zara Vee,Stories Vol. 1,2014-03-14,2014,193332,72.0,0.5126110869553618,0.59126554031598,-15.316451474829288,0.1409274002296026,0.2911815648000369,0.2947975614061709,0.795125440140999,0.7964733385482172,91.67004729841064,8,0,4,indie,False
trk_00049,Silent Stories,The Skylarks,Diary Vol. 5,2020-05-03,2020,206554,46.0,0.5940737893759663,0.577932468402804,-7.104867642196463,0.1091362322626859,0.2590004706051097,0.0678471861981311,0.2672551410985138,0.4700310633824169,106.16764860362198,4,1,5,pop,False
trk_00050,Velvet Rhythm,El Tigre,Diary Vol. 3,2004-10-07,2004,233457,68.0,0.1390976254557248,0.5130178527733271,-10.085130980449218,0.1718315873478748,0.5319741778498964,0.049919014953226,0.3465147007079648,0.8143995218990053,94.84844282170768,7,1,7,metal,True
